|0|;|Mon Jan 05 15:35:57 +0000 2015|;|0|;|AT_USER AT_USER AT_USER AT_USER por isso inclusive que dona dilma precisa emplacar seu presidente da câmara que não seja cunha|
|3|;|Mon Jan 05 15:35:46 +0000 2015|;|0|;|se nem a dilma que é presidente do brasil se veste como uma pessoa da classe dela pfvr não obriguem as faveladas a andar arrumada|
|1|;|Mon Jan 05 15:33:32 +0000 2015|;|0|;|brasil e angola firmam acordo para facilitar concessão de visto termo assinado entre a presidente dilma e o p URL|
|2|;|Mon Jan 05 15:33:28 +0000 2015|;|0|;|o segundo governo da presidente dilma rousseff começou a se estruturar na última sexta-feira quando 14 novos URL|
|0|;|Mon Jan 05 15:24:38 +0000 2015|;|0|;|houve maquiagem nas contas da presidente dilma afirma ministro do tcu URL|
|3|;|Mon Jan 05 15:21:22 +0000 2015|;|2|;|mais macabro que ter a dilma de presidente é ter o fdp do lula querendo se re reeleger em 2018|
|2|;|Mon Jan 05 15:19:13 +0000 2015|;|0|;|AT_USER podemos seguir um ao outro do chile para apoiar o partido ea grande presidente dilma rousseff|
|2|;|Mon Jan 05 15:18:39 +0000 2015|;|0|;|a presidente dilma rousseff sancionou com vetos  a lei de diretrizes orçamentárias (ldo) para 2015  na lei a URL|
|0|;|Mon Jan 05 15:16:36 +0000 2015|;|0|;|dilma sabia dos estragos que estavam sendo feitos na petrobras desde 2003 ou é incompetente mesmo URL|
|2|;|Mon Jan 05 15:14:52 +0000 2015|;|1|;|rt AT_USER pablotimbeta dilma sanciona com vetos ldo para 2015 agência brasil (brasília) – a presidente dilma rousseff  URL|
|0|;|Mon Jan 05 15:14:46 +0000 2015|;|0|;|lindas essa foto da escolta da prf 191 sc da posse da presidente dilma AT_USER URL|
|0|;|Mon Jan 05 15:10:28 +0000 2015|;|5|;|rt AT_USER unha e carne &gt&gt&gt dirceu visitou presidente dilma no alvorada &gt&gt&gt URL|
|0|;|Mon Jan 05 15:09:18 +0000 2015|;|0|;|fracasso em estancar escândalo da petrobras assombra presidente dilma URL via AT_USER|
|0|;|Mon Jan 05 15:06:33 +0000 2015|;|1|;|o professor da fespsp aldo fornazieri analisa em artigo no jornal ggn as recentes atitudes da presidente dilma URL|
|2|;|Mon Jan 05 15:06:26 +0000 2015|;|1|;|pablotimbeta dilma sanciona com vetos ldo para 2015 agência brasil (brasília) – a presidente dilma rousseff  URL|
|2|;|Mon Jan 05 15:02:31 +0000 2015|;|0|;|rodrigo veronezi garcia e a conspiração  a presidenta dilma rousseff derrotou aécio neves e URL|
|0|;|Mon Jan 05 15:01:48 +0000 2015|;|0|;|como todos sabem a presidente dilma desautorizou o ministro nelson barbosa que antecipou a necessidade de URL|
|2|;|Mon Jan 05 15:00:25 +0000 2015|;|0|;|brasília - em seu primeiro discurso como novo ministro das cidades gilberto kassab afirmou que a presidente dilma rousseff terá o a|
|3|;|Mon Jan 05 14:52:17 +0000 2015|;|0|;|AT_USER mudaria a presidente dilma o mulherzinha dilma presidente|
|2|;|Mon Jan 05 14:50:06 +0000 2015|;|0|;|saiba tudo sobre a dieta que tem feito a cabeça da presidente dilma rousseff de ministros e de outras personalidades URL|
|0|;|Mon Jan 05 14:49:18 +0000 2015|;|16|;|rt AT_USER dilma e lulla os culpados impediram investigacoes petrobras em 2009 leia eh de estarrecer URL v…|
|1|;|Mon Jan 05 14:48:25 +0000 2015|;|1|;|rt AT_USER brasil e angola firmam acordo para facilitar concessão de visto termo assinado entre a presidente dilma e o p URL|
|2|;|Mon Jan 05 14:48:11 +0000 2015|;|0|;|o senado está pronto a oferecer à presidente dilma rousseff sugestões para ajudá-la a tornar o brasil uma “pátria URL|
|2|;|Mon Jan 05 14:46:36 +0000 2015|;|0|;|dilma rejeita exceção para que pf possa realizar gastos excepcionais brasília - a presidente dilma rousseff r URL|
|0|;|Mon Jan 05 14:46:24 +0000 2015|;|2|;|rt AT_USER regra de reajuste do mínimose renovada pelo congresso como quer a presidente dilma do pt terá o significativo ganho r…|
|2|;|Mon Jan 05 14:46:21 +0000 2015|;|0|;|dilma rejeita exceção para que pf possa realizar gastos excepcionais brasília - a presidente dilma rousseff rejeitou a licença conce|
|0|;|Mon Jan 05 14:45:53 +0000 2015|;|0|;|presidente dos correios fez campanha pra dilma e aí tem aparelhamento estatal ou não tem absurdo URL|
|0|;|Mon Jan 05 14:45:14 +0000 2015|;|1|;|rt AT_USER AT_USER AT_USER realmente esta charge mostra como foi e tem sido o governo dilma o cão é o presidente e ela a chefe da…|
|0|;|Mon Jan 05 14:43:56 +0000 2015|;|1|;|AT_USER AT_USER realmente esta charge mostra como foi e tem sido o governo dilma o cão é o presidente e ela a chefe da casa civil|
|0|;|Mon Jan 05 14:41:54 +0000 2015|;|0|;|incompetanta @ AT_USER fracasso em estancar escândalo da petrobras assombra presidente dilma URL mercados_im|
|0|;|Mon Jan 05 14:40:18 +0000 2015|;|0|;|ldo é sancionada com superávit primário equivalente a r$ 552 bilhões a presidente dilma… URL|
|2|;|Mon Jan 05 14:39:04 +0000 2015|;|0|;|dilma anuncia terceiro pac e investimento em logística a presidente dilma rousseff aproveitou o discurso de URL|
|2|;|Mon Jan 05 14:37:11 +0000 2015|;|0|;|a primeira aeronave elétrica do brasil a presidente dilma rousseff aproveitou o discurso de posse para anunciar URL|
|0|;|Mon Jan 05 14:36:52 +0000 2015|;|2|;|rt AT_USER o time nessa situação e os cara comentando look da presidente rt AT_USER look de dilma na posse divide estilistas famosos|
|0|;|Mon Jan 05 14:30:26 +0000 2015|;|0|;|dilma toma posse e anuncia projeto para beneficiar pequenas empresas a ideia da presidente reeleita é acabar com URL|
|1|;|Mon Jan 05 14:28:44 +0000 2015|;|0|;|eleger a dilma pra presidente do brasil foi a pior escolha que poderiam ter feito|
|0|;|Mon Jan 05 14:27:24 +0000 2015|;|0|;|AT_USER como estão as obras da transposição do rio são francisco a promessa da presidente dilma é para 2015 será que ela cumpre|
|0|;|Mon Jan 05 14:25:03 +0000 2015|;|0|;|boa análise sobre os novos ministros escolhidos pela presidente se a dilma merecia o mínimo de respeito depois URL|
|0|;|Mon Jan 05 14:24:43 +0000 2015|;|0|;|presidente dilma deve visitar os eua em setembro URL URL|
|0|;|Mon Jan 05 14:24:05 +0000 2015|;|22|;|rt AT_USER a presidente dilma pode até ter vencido dessa vez mas não pense que a oposição vai sossegar URL|
|0|;|Mon Jan 05 14:23:15 +0000 2015|;|5|;|rt AT_USER presidente dilma como você pretende reduzir esse calor que tá arrombando com nossas vidas|
|0|;|Mon Jan 05 14:19:41 +0000 2015|;|2|;|leia no blog da dilma ex-presidente da caixa critica abertura de capital URL|
|2|;|Mon Jan 05 14:18:21 +0000 2015|;|0|;|dilma veta projeto que determina criação de linha oficial de pobreza a presidente dilma rousseff vetou no fi URL|
|2|;|Mon Jan 05 14:18:05 +0000 2015|;|0|;|brasília - a presidente dilma rousseff rejeitou a licença concedida pelo congresso nacional para que a polícia federal possa realizar|
|0|;|Mon Jan 05 14:12:50 +0000 2015|;|0|;|em declarações após o encontro realizado em brasília durante a posse da presidente dilma no dia 1º de janeiro URL|
|2|;|Mon Jan 05 14:09:42 +0000 2015|;|0|;|vetado projeto que determinava instituição de linha oficial de pobreza a presidente dilma rousseff vetou n URL|
|2|;|Mon Jan 05 14:07:54 +0000 2015|;|0|;|dilma veta lista de despesas que não teriam restrições orçamentárias brasília - a presidente dilma rousseff i URL|
|2|;|Mon Jan 05 14:05:00 +0000 2015|;|0|;|ldo é sancionada com superávit primário equivalente a r$ 552 bilhões a presidente dilma rousseff sancionou  URL|
|2|;|Mon Jan 05 14:04:25 +0000 2015|;|25|;|rt AT_USER posse da presidente dilma rousseff - 01012015 - feliz orgulho  dilminhalacrandonaposse possedadilma URL|
|0|;|Mon Jan 05 14:01:58 +0000 2015|;|0|;|engraçada essa posse do gilberto kassab no ministério de dilma roussef lá tem gente que combate a presidente nos estados|
|2|;|Mon Jan 05 14:00:52 +0000 2015|;|1|;|rt AT_USER segundo AT_USER  a presidente dilma rousseff terá total apoio do psd no segundo mandato todos querem um país m…|
